ID,Date,Open,High,Low,Close,Adj Close,Volume,Next Day Price
#12082024,12/08/2024,166.00,169.53,165.54,167.63,167.01,14727300.00,172.34
#13082024,13/08/2024,168.00,172.45,166.34,172.34,171.71,15243500.00,169.97
#14082024,14/08/2024,171.88,172.51,167.19,169.97,169.34,11510300.00,173.96
#15082024,15/08/2024,172.43,175.44,170.82,173.96,173.32,15393500.00,174.54
#16082024,16/08/2024,173.39,175.00,172.25,174.54,173.90,10710000.00,175.45
#19082024,19/08/2024,174.76,175.45,171.10,175.45,174.80,11511000.00,172.04
#20082024,20/08/2024,175.40,175.40,169.85,172.04,171.41,13555500.00,171.44
#21082024,21/08/2024,170.36,173.08,169.91,171.44,170.81,9434800.00,166.44
#22082024,22/08/2024,172.00,173.28,166.06,166.44,165.83,13546100.00,171.28
#23082024,23/08/2024,169.00,173.29,167.92,171.28,170.65,12189100.00,169.07
#26082024,26/08/2024,170.38,171.05,167.82,169.07,168.45,9611300.00,170.55
#27082024,27/08/2024,166.42,170.58,165.04,170.55,169.92,9186000.00,169.20
#28082024,28/08/2024,171.32,172.47,166.20,169.20,168.58,10581400.00,169.15
#29082024,29/08/2024,168.65,175.42,167.51,169.15,168.53,13213200.00,171.70
#30082024,30/08/2024,170.06,172.23,168.75,171.70,171.07,9481400.00,160.49
#3092024,3/09/2024,168.00,168.68,159.80,160.49,159.90,18464400.00,160.87
#4092024,4/09/2024,159.30,163.88,158.95,160.87,160.28,11317400.00,163.70
#5092024,5/09/2024,161.54,164.59,161.05,163.70,163.10,10260600.00,156.82
#6092024,6/09/2024,164.89,165.41,156.01,156.82,156.24,14964400.00,162.78
#9092024,9/09/2024,160.76,163.10,160.25,162.78,162.18,10339000.00,162.43
#10092024,10/09/2024,162.89,162.89,157.69,162.43,161.83,11910800.00,170.23
#11092024,11/09/2024,163.80,170.38,161.42,170.23,169.60,15059500.00,171.43
#12092024,12/09/2024,170.60,172.15,169.00,171.43,171.43,13415500.00,172.50
#13092024,13/09/2024,172.24,174.77,171.45,172.50,172.50,8787800.00,169.08
#16092024,16/09/2024,169.91,170.56,166.77,169.08,169.08,12194300.00,167.35
#17092024,17/09/2024,169.35,170.24,166.36,167.35,167.35,8629100.00,167.28
#18092024,18/09/2024,168.46,171.60,167.00,167.28,167.28,9116000.00,176.22
#19092024,19/09/2024,174.38,177.78,172.63,176.22,176.22,15855000.00,174.08
#20092024,20/09/2024,174.87,176.02,173.65,174.08,174.08,18429800.00,174.76
#23092024,23/09/2024,174.84,175.40,173.70,174.76,174.76,5794200.00,181.97
#24092024,24/09/2024,179.50,182.78,177.05,181.97,181.97,14576100.00,182.35
#25092024,25/09/2024,181.52,183.82,181.21,182.35,182.35,8280900.00,186.83
#26092024,26/09/2024,188.50,189.33,183.80,186.83,186.83,15103400.00,177.97
#27092024,27/09/2024,185.84,185.94,177.40,177.97,177.97,17908400.00,173.67
#30092024,30/09/2024,174.27,176.82,171.93,173.67,173.67,13540200.00,172.07
#1102024,1/10/2024,175.31,175.99,170.78,172.07,172.07,11850200.00,175.80
#2102024,2/10/2024,172.96,176.97,170.79,175.80,175.80,11164400.00,179.48
#3102024,3/10/2024,175.80,180.79,175.12,179.48,179.48,12555000.00,181.16
#4102024,4/10/2024,179.70,181.23,177.55,181.16,181.16,9993800.00,184.51
#7102024,7/10/2024,181.60,185.00,180.93,184.51,184.51,12054200.00,186.05
#8102024,8/10/2024,184.96,186.54,182.03,186.05,186.05,10394200.00,187.14
#9102024,9/10/2024,187.80,188.00,182.26,187.14,187.14,11925000.00,185.78
#10102024,10/10/2024,185.86,187.08,184.40,185.78,185.78,6443800.00,190.60
#11102024,11/10/2024,188.17,191.49,188.01,190.60,190.60,11444602.00,
